@id	@lon	@lat	name
2777138212	47.059702200000004	-19.8253087	Tombotsoa
2777155708	47.0446471	-19.8368256	Mahafaly
2778882211	47.034149799999994	-19.849250100000003	Antsirabe Avaratra
2778901517	47.0352755	-19.8632701	Manodidina ny Gara
2778922087	47.0443547	-19.851065600000002	Fitomilasy Bevokatra
2779193264	47.047388500000004	-19.861829500000002	Ambohimanambola
2790127519	47.072092100000006	-19.8384063	Ambilombe
2791958449	47.027665899999995	-19.8460774	Antsongo
2792414506	47.029466	-19.865409699999997	Avaratsena
2792414510	47.0192534	-19.861166600000004	Andafiatsimo
2792423072	47.008595	-19.8638887	Tsivahatrinikamo
2794234074	47.0036475	-19.811968	Tsarafara
2794264473	46.9928364	-19.8313435	Avarabohitra
2794264475	47.022177500000005	-19.8391043	Tsiafahy
2796467463	46.997559700000004	-19.8555359	Antanamanjaka
2796467464	46.9813801	-19.855776199999998	Ambohijafy Avaratra
2857637381	47.036776700000004	-19.8693387	Soamalaza
2857675541	47.0430555	-19.8707725	Tomboarivo
2857675542	47.0455852	-19.8677304	Marondita
2857675543	47.0583814	-19.8701391	Sahatsiho
2857675544	47.0395557	-19.892805600000003	Ambohimena
2861525551	47.0440885	-19.876690300000003	Ampanataovana
2861525552	47.068595200000004	-19.8759105	Vohitrarivo
2861528181	47.0496255	-19.884671100000002	Androvakely
2861609524	47.0437032	-19.888747	Antanety
2861609525	47.0498841	-19.8943333	Mahatsinjo
2869950756	47.0060336	-19.8471513	Ambalavato 401
2870007749	47.0237606	-19.8497104	Vohijanahary
2872737605	46.99785870000001	-19.867762399999997	Andrefan'Ivohitra
2872739549	47.002364799999995	-19.8784577	Fiadanana
2872739550	46.9885461	-19.8886277	Andrangy
2872754660	47.0166127	-19.886549300000002	Ambohipeno
2872754661	47.0230777	-19.882694100000002	Antanambao
2872754662	47.028908	-19.886075100000003	Bemasoandro Ambalakisoa
2872762077	47.015496899999995	-19.895003699999997	Ambohidava
2872762078	46.992193900000004	-19.901661999999998	Ambohitsarabe
2872812753	47.0344441	-19.890574800000003	Ambohidravaka
2874120453	46.9870961	-19.9092293	Ambositrakely
2874120454	47.0360365	-19.909841600000004	Ambalavato
2874120455	47.045134499999996	-19.910588	Ambohimanarivo
2929179628	47.039477399999996	-19.8722406	Tsarasaotra
3576711927	46.3493079	-15.7111386	Ambohimandamina
3576827009	46.3233884	-15.695430499999999	Betamanga
3673912660	47.0816727	-21.4499142	Ambatomena
3673912661	47.0880994	-21.4450982	Tambohobe
3673912662	47.093867100000004	-21.4556027	Tanambao
3673912664	47.0888528	-21.4520435	Isaha
3673912665	47.097799	-21.456305800000003	Soatsihadino
3673912666	47.109083	-21.4531475	Soanierana
3673912667	47.1060432	-21.4458795	Ambodirano
3673912668	47.0938924	-21.4355889	Mahamanina
3673912669	47.1002219	-21.4367645	Bateravola
3673912670	47.1172964	-21.418801600000002	Ankofafa Ambany
3673912672	47.1064402	-21.4368673	Talatamaty
3673912673	47.11450120000001	-21.4374924	Beravina
3673912692	47.108284499999996	-21.4655167	Ambatoharanana
3675382062	47.1217402	-21.4403862	Antamponjina
3675382491	47.0925225	-21.4600183	Isada
3675382492	47.088980600000006	-21.4612405	Ampitakely
3675382493	47.097004	-21.4598026	Igaga
3675382630	47.0758468	-21.4643202	Ambanimaso
3675382631	47.080919	-21.4656483	Tsaramandroso
3675388439	47.084158	-21.4527995	Ambalapaiso
3677903678	47.1193974	-21.4603534	Ambatolahy
3677904022	47.083894799999996	-21.4572784	Tsianolondroa
3677904023	47.0865706	-21.4589505	Imandry
3677904024	47.0890757	-21.438354800000003	Sahalava
3677904125	47.0953005	-21.438343300000003	Antsororokavo
3677906254	47.059759299999996	-21.4844454	Mahazengy
3680825348	47.125206299999995	-21.4735883	Ambalabe
